Country_Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Mali,MLI,"$2,954,129,566 ","$3,465,305,993 ","$3,889,758,024 ","$4,703,504,467 ","$5,444,474,268 ","$6,247,496,491 ","$6,905,876,385 ","$8,145,694,632 ","$9,798,741,074 ","$10,190,945,007 ","$10,689,167,195 ","$12,995,074,801 ","$12,441,946,098 ","$13,242,680,701 ","$14,365,345,530 ","$13,104,869,674 ","$14,020,002,871 ","$15,375,605,992 ","$17,172,022,684 "
Mauritania,MRT,"$1,779,521,110 ","$1,746,064,719 ","$1,777,058,593 ","$2,051,147,607 ","$2,362,501,023 ","$2,936,019,526 ","$4,008,583,968 ","$4,328,063,511 ","$5,138,471,610 ","$4,725,200,358 ","$5,628,882,266 ","$6,764,635,687 ","$6,728,208,836 ","$7,223,063,170 ","$6,592,537,782 ","$6,166,857,629 ","$6,398,744,505 ","$6,758,390,729 ","$7,049,169,771 "
Mauritius,MUS,"$4,663,313,620 ","$4,613,630,623 ","$4,841,310,240 ","$5,816,553,827 ","$6,578,844,486 ","$6,488,750,453 ","$7,028,803,366 ","$8,150,138,757 ","$9,990,370,016 ","$9,128,843,109 ","$10,003,670,690 ","$11,518,393,367 ","$11,668,685,524 ","$12,129,642,296 ","$12,803,445,934 ","$11,692,287,066 ","$12,232,463,656 ","$13,259,351,418 ","$14,181,803,715 "
Mozambique,MOZ,"$5,553,894,130 ","$5,311,092,496 ","$5,623,299,278 ","$6,254,047,514 ","$7,589,038,160 ","$8,512,116,725 ","$9,149,485,071 ","$10,423,424,155 ","$12,574,681,498 ","$11,899,763,735 ","$11,087,646,868 ","$14,381,552,433 ","$16,350,804,543 ","$16,974,320,551 ","$17,716,084,108 ","$15,950,969,019 ","$11,936,999,283 ","$13,219,084,261 ","$14,717,223,207 "
Namibia,NAM,"$3,833,993,703 ","$3,476,452,446 ","$3,275,669,889 ","$4,811,994,025 ","$6,480,441,754 ","$7,121,391,946 ","$7,835,043,624 ","$8,740,865,600 ","$8,486,721,917 ","$8,876,191,121 ","$11,268,186,636 ","$12,343,501,808 ","$13,042,007,432 ","$12,011,207,762 ","$12,356,482,878 ","$11,272,143,550 ","$10,665,634,661 ","$12,741,746,434 ","$13,454,211,124 "
Niger,NER,"$2,238,259,711 ","$2,445,079,044 ","$2,768,787,377 ","$3,387,804,102 ","$3,742,134,213 ","$4,374,677,877 ","$4,743,059,572 ","$5,694,717,111 ","$7,220,003,603 ","$7,278,718,280 ","$7,792,421,016 ","$8,701,085,756 ","$9,366,515,965 ","$10,156,855,204 ","$10,815,312,544 ","$9,667,589,437 ","$10,284,627,190 ","$11,166,063,887 ","$12,826,750,567 "
Nigeria,NGA,"$69,448,756,933 ","$74,030,364,472 ","$95,385,819,321 ","$104,911,947,834 ","$136,385,979,322 ","$176,134,087,150 ","$236,103,982,432 ","$275,625,684,969 ","$337,035,512,677 ","$291,880,204,327 ","$363,359,886,203 ","$410,334,579,161 ","$459,376,049,764 ","$514,966,287,334 ","$568,498,937,616 ","$494,583,180,777 ","$404,649,527,538 ","$375,745,486,521 ","$398,160,403,207 "
Rwanda,RWA,"$1,734,938,652 ","$1,674,685,248 ","$1,677,552,332 ","$1,846,198,771 ","$2,088,961,969 ","$2,581,313,486 ","$3,330,198,838 ","$4,083,515,097 ","$5,198,063,011 ","$5,694,132,466 ","$6,147,525,367 ","$6,912,074,082 ","$7,687,521,844 ","$7,851,127,992 ","$8,279,481,015 ","$8,582,588,883 ","$8,734,161,828 ","$9,253,098,954 ","$9,627,720,630 "
Sao Tome and Principe,STP, .. ,"$75,951,211 ","$85,171,308 ","$102,085,583 ","$114,582,562 ","$136,450,275 ","$142,775,597 ","$149,146,423 ","$188,021,191 ","$187,820,465 ","$197,454,067 ","$233,213,983 ","$252,560,781 ","$302,924,710 ","$348,941,716 ","$318,266,475 ","$347,544,772 ","$375,040,835 ","$422,295,934 "
Senegal,SEN,"$5,924,239,701 ","$6,174,898,370 ","$6,752,510,283 ","$8,683,229,268 ","$10,167,441,854 ","$11,022,821,632 ","$11,847,848,225 ","$14,285,970,085 ","$16,949,789,465 ","$16,248,212,852 ","$16,230,887,978 ","$17,902,207,622 ","$17,824,398,469 ","$18,965,572,150 ","$19,797,254,643 ","$17,774,766,636 ","$19,040,312,815 ","$20,996,564,752 ","$23,236,007,428 "
